path,surface_area,compactness,rectangularity,diameter,eccentricity
['data' 'LabeledDB_new' 'Airplane' '61' 'original.ply'],-0.6576442122596706,-0.1506337240644762,-0.4883046353517521,0.851435755751885,0.43721845688917876
['data' 'LabeledDB_new' 'Airplane' '62' 'original.ply'],-0.5924629456556105,-0.40425901552470467,-0.6505493753754162,0.7812167378367953,0.19077960825929474
['data' 'LabeledDB_new' 'Airplane' '63' 'original.ply'],-0.5536321029052725,-0.3478022365361452,-0.64283214907228,1.0151192092830683,0.16850898573091058
['data' 'LabeledDB_new' 'Airplane' '64' 'original.ply'],-0.5037926740939207,-0.20593096306319061,-0.6733575077029126,0.2638369807883274,0.5089974030038409
['data' 'LabeledDB_new' 'Airplane' '65' 'original.ply'],-0.6808868798305459,-0.08132373179971919,-0.7202969502769914,-0.5075310934600107,0.6834968357438411
['data' 'LabeledDB_new' 'Airplane' '66' 'original.ply'],-0.5678230691359222,0.5122093666517357,-0.6498011631089701,-0.6159965371234852,1.709653951608609
['data' 'LabeledDB_new' 'Airplane' '67' 'original.ply'],-0.42024437865449815,-0.09510911614541318,-0.6446247452214112,-0.0058731137890001605,0.5751471029973265
['data' 'LabeledDB_new' 'Airplane' '68' 'original.ply'],-0.7383108814755408,0.05719131380212043,-0.7655330884934233,-0.2208780707339546,0.5764652106031194
['data' 'LabeledDB_new' 'Airplane' '69' 'original.ply'],-0.5164048066004499,-0.02843580555673956,-0.6023610978500136,0.48020784252795745,0.6911723814878877
['data' 'LabeledDB_new' 'Airplane' '70' 'original.ply'],-0.6091248229015266,0.39120583637954925,-0.7393946307997231,0.984659009574051,2.2438330562932705
['data' 'LabeledDB_new' 'Airplane' '71' 'original.ply'],-0.5468779970404872,-0.11708389796518513,-0.7244503514003905,0.9238775441806394,0.35638280939161787
['data' 'LabeledDB_new' 'Airplane' '72' 'original.ply'],-0.6549885509497269,0.01303302281261912,-0.7326143140493689,0.9278859423251864,0.9285429710486395
['data' 'LabeledDB_new' 'Airplane' '73' 'original.ply'],-0.6858203157547164,-0.0523272461534535,-0.7761626449753614,0.8043635045222486,0.8506624675167658
['data' 'LabeledDB_new' 'Airplane' '74' 'original.ply'],-0.6853862127918281,-0.21202452611213363,-0.6844126345419697,0.8095228258064725,0.8494461746993434
['data' 'LabeledDB_new' 'Airplane' '75' 'original.ply'],-0.37044377893053726,0.09859367250550044,-0.4090246932009614,-0.31551292617808324,0.6350806521644871
['data' 'LabeledDB_new' 'Airplane' '76' 'original.ply'],-0.6244209377247963,-0.3185665773074932,-0.663523339165377,0.20523514394031975,0.7527591324008646
['data' 'LabeledDB_new' 'Airplane' '77' 'original.ply'],-0.5992556875858477,-0.09455555430417945,-0.762999567110343,-0.01424020709782979,0.6878133422584539
