path,nr_of_vertices,nr_of_faces,surface_area,volume
['data' 'LabeledDB_new' 'Airplane' '61' 'original.ply'],5400,10796,1.915367707806675,0.07354952008541273
['data' 'LabeledDB_new' 'Airplane' '62' 'original.ply'],5619,11234,2.0696912986251923,0.10507855435626355
['data' 'LabeledDB_new' 'Airplane' '63' 'original.ply'],5519,11034,2.1616274551618164,0.10515980357182231
['data' 'LabeledDB_new' 'Airplane' '64' 'original.ply'],6797,13590,2.2796276107723754,0.09974084520241532
['data' 'LabeledDB_new' 'Airplane' '65' 'original.ply'],6448,12892,1.8603382173274319,0.06699397721754788
['data' 'LabeledDB_new' 'Airplane' '66' 'original.ply'],7739,15474,2.128028830863797,0.060936028936909414
['data' 'LabeledDB_new' 'Airplane' '67' 'original.ply'],7651,15298,2.477437099466306,0.10393736870680868
['data' 'LabeledDB_new' 'Airplane' '68' 'original.ply'],5583,11162,1.7243807773701558,0.05483224340720848
['data' 'LabeledDB_new' 'Airplane' '69' 'original.ply'],6701,13398,2.2497670440764264,0.08604705030233449
['data' 'LabeledDB_new' 'Airplane' '70' 'original.ply'],5631,11258,2.0302425298566797,0.05956505800939137
['data' 'LabeledDB_new' 'Airplane' '71' 'original.ply'],5849,11694,2.1776185195931124,0.0869908970810419
['data' 'LabeledDB_new' 'Airplane' '72' 'original.ply'],5228,10452,1.9216552690704776,0.06620393250842166
['data' 'LabeledDB_new' 'Airplane' '73' 'original.ply'],5109,10214,1.8486577815849656,0.06508994264176171
['data' 'LabeledDB_new' 'Airplane' '74' 'original.ply'],5044,10084,1.8496855665836873,0.07326694674132483
['data' 'LabeledDB_new' 'Airplane' '75' 'original.ply'],8679,17354,2.595345323446526,0.09892507743753784
['data' 'LabeledDB_new' 'Airplane' '76' 'original.ply'],5923,11842,1.9940273486111242,0.09038375326160676
['data' 'LabeledDB_new' 'Airplane' '77' 'original.ply'],6587,13170,2.0536087594872203,0.07841106880211769
['data' 'LabeledDB_new' 'Airplane' '78' 'original.ply'],7470,14936,2.406254074690181,0.08663960959793361
['data' 'LabeledDB_new' 'Airplane' '79' 'original.ply'],6689,13374,2.407611887052445,0.0846211675895175
['data' 'LabeledDB_new' 'Airplane' '80' 'original.ply'],7351,14698,2.554367551852032,0.09206844952233798
