path,class,aabb_p0,aabb_p1
['data' 'LabeledDB_new' 'Airplane' '61' 'original.ply'],Airplane
['data' 'LabeledDB_new' 'Airplane' '62' 'original.ply'],Airplane
['data' 'LabeledDB_new' 'Airplane' '63' 'original.ply'],Airplane
['data' 'LabeledDB_new' 'Airplane' '64' 'original.ply'],Airplane
['data' 'LabeledDB_new' 'Airplane' '65' 'original.ply'],Airplane
['data' 'LabeledDB_new' 'Airplane' '66' 'original.ply'],Airplane
['data' 'LabeledDB_new' 'Airplane' '67' 'original.ply'],Airplane
['data' 'LabeledDB_new' 'Airplane' '68' 'original.ply'],Airplane
['data' 'LabeledDB_new' 'Airplane' '69' 'original.ply'],Airplane
['data' 'LabeledDB_new' 'Airplane' '70' 'original.ply'],Airplane
['data' 'LabeledDB_new' 'Airplane' '71' 'original.ply'],Airplane
['data' 'LabeledDB_new' 'Airplane' '72' 'original.ply'],Airplane
['data' 'LabeledDB_new' 'Airplane' '73' 'original.ply'],Airplane
['data' 'LabeledDB_new' 'Airplane' '74' 'original.ply'],Airplane
['data' 'LabeledDB_new' 'Airplane' '75' 'original.ply'],Airplane
['data' 'LabeledDB_new' 'Airplane' '76' 'original.ply'],Airplane
['data' 'LabeledDB_new' 'Airplane' '77' 'original.ply'],Airplane
['data' 'LabeledDB_new' 'Airplane' '78' 'original.ply'],Airplane
['data' 'LabeledDB_new' 'Airplane' '79' 'original.ply'],Airplane
['data' 'LabeledDB_new' 'Airplane' '80' 'original.ply'],Airplane
['data' 'LabeledDB_new' 'Ant' '100' 'original.ply'],Ant
['data' 'LabeledDB_new' 'Ant' '81' 'original.ply'],Ant
['data' 'LabeledDB_new' 'Ant' '82' 'original.ply'],Ant
['data' 'LabeledDB_new' 'Ant' '83' 'original.ply'],Ant
['data' 'LabeledDB_new' 'Ant' '84' 'original.ply'],Ant
['data' 'LabeledDB_new' 'Ant' '85' 'original.ply'],Ant
['data' 'LabeledDB_new' 'Ant' '86' 'original.ply'],Ant
['data' 'LabeledDB_new' 'Ant' '87' 'original.ply'],Ant
['data' 'LabeledDB_new' 'Ant' '88' 'original.ply'],Ant
['data' 'LabeledDB_new' 'Ant' '89' 'original.ply'],Ant
['data' 'LabeledDB_new' 'Ant' '90' 'original.ply'],Ant
['data' 'LabeledDB_new' 'Ant' '91' 'original.ply'],Ant
['data' 'LabeledDB_new' 'Ant' '92' 'original.ply'],Ant
['data' 'LabeledDB_new' 'Ant' '93' 'original.ply'],Ant
['data' 'LabeledDB_new' 'Ant' '94' 'original.ply'],Ant
['data' 'LabeledDB_new' 'Ant' '95' 'original.ply'],Ant
['data' 'LabeledDB_new' 'Ant' '96' 'original.ply'],Ant
['data' 'LabeledDB_new' 'Ant' '97' 'original.ply'],Ant
['data' 'LabeledDB_new' 'Ant' '98' 'original.ply'],Ant
['data' 'LabeledDB_new' 'Ant' '99' 'original.ply'],Ant
['data' 'LabeledDB_new' 'Armadillo' '281' 'original.ply'],Armadillo
['data' 'LabeledDB_new' 'Armadillo' '282' 'original.ply'],Armadillo
['data' 'LabeledDB_new' 'Armadillo' '283' 'original.ply'],Armadillo
['data' 'LabeledDB_new' 'Armadillo' '284' 'original.ply'],Armadillo
